Sat;Praznik;Mjesec;Temperatura;ProsjekU24h;Potrosnja
18;0;1;3.7;306.46875;325.75
19;0;1;3.5;305.822916667;264.25
20;0;1;3.1;305.010416667;235.25
21;0;1;2.8;305.208333333;207.5
22;0;1;2.8;305.416666667;184.5
23;0;1;2.6;305.03125;177.0
0;0;1;2.5;304.5625;175.5
1;0;1;2.1;304.25;173.0
2;0;1;1.8;304.197916667;169.5
3;0;1;1.6;304.09375;171.5
4;0;1;1.5;304.135416667;169.25
5;0;1;1.3;304.072916667;179.75
6;0;1;1.3;304.083333333;243.0
7;0;1;1.3;303.8125;285.5
8;0;1;1.3;304.041666667;385.0
9;0;1;1.4;304.78125;462.25
10;0;1;1.3;306.28125;474.25
11;0;1;2.4;307.875;500.75
12;0;1;2.7;310.0625;490.25
13;0;1;2.8;310.78125;477.25
14;0;1;2.8;311.989583333;461.0
15;0;1;2.5;312.447916667;449.5
16;0;1;2.2;311.541666667;412.75
17;0;1;1.7;311.010416667;340.5
18;0;1;1.6;308.947916667;288.0
19;0;1;1.3;307.375;242.25
20;0;1;1.2;306.458333333;212.75
21;0;1;0.8;305.520833333;192.25
22;0;1;0.7;304.885416667;176.5
23;0;1;0.7;304.552083333;175.5
0;1;1;0.6;304.489583333;175.0
1;1;1;0.5;304.46875;172.75
2;1;1;-0.1;304.458333333;171.0
3;1;1;-0.3;304.520833333;168.5
4;1;1;-0.3;304.395833333;168.25
5;1;1;-0.3;304.354166667;166.0
6;1;1;-0.3;303.78125;181.25
7;1;1;-0.4;301.208333333;178.25
8;1;1;-0.2;296.739583333;187.0
9;1;1;-0.2;288.489583333;200.0
10;1;1;-0.1;277.5625;199.5
11;1;1;0.3;266.114583333;204.5
12;1;1;0.8;253.770833333;213.0
13;1;1;0.9;242.21875;208.0
14;1;1;0.8;231.0;203.5
15;1;1;0.6;220.270833333;205.5
16;1;1;0.1;210.104166667;205.5
17;1;1;-0.3;201.46875;206.0
18;1;1;-0.5;195.864583333;205.25
19;1;1;-0.6;192.416666667;196.75
20;1;1;-0.8;190.520833333;192.5
21;1;1;-0.7;189.677083333;184.75
22;1;1;-0.7;189.364583333;181.75
23;1;1;-0.7;189.583333333;174.75
0;1;1;-1.1;189.552083333;175.25
1;1;1;-1.6;189.5625;177.5
2;1;1;-1.7;189.760416667;176.25
3;1;1;-2.3;189.979166667;175.75
4;1;1;-2.5;190.28125;171.75
5;1;1;-2.7;190.427083333;168.0
6;1;1;-3.2;190.510416667;177.0
7;1;1;-3.5;190.333333333;171.25
8;1;1;-2.7;190.041666667;170.75
9;1;1;-1.6;189.364583333;169.0
10;1;1;-0.6;188.072916667;170.75
11;1;1;0.3;186.875;172.0
12;1;1;1.2;185.520833333;176.25
13;1;1;1.5;183.989583333;185.75
14;1;1;1.4;183.0625;184.25
15;1;1;1.4;182.260416667;183.0
16;1;1;0.2;181.322916667;185.25
17;1;1;0.4;180.479166667;200.75
18;1;1;0.6;180.260416667;206.25
19;1;1;0.6;180.302083333;201.75
20;1;1;-0.4;180.510416667;190.0
21;1;1;-1.1;180.40625;184.0
22;1;1;-2.0;180.375;168.5
23;1;1;-2.3;179.822916667;167.5
0;0;1;-2.5;179.520833333;169.0
1;0;1;-3.2;179.260416667;164.5
2;0;1;-3.2;178.71875;163.25
3;0;1;-3.2;178.177083333;163.5
4;0;1;-3.2;177.666666667;163.5
5;0;1;-3.9;177.322916667;176.25
6;0;1;-4.3;177.666666667;238.25
7;0;1;-4.1;180.21875;290.25
8;0;1;-2.4;185.177083333;368.0
9;0;1;-1.8;193.395833333;428.0
10;0;1;-1.2;204.1875;448.75
11;0;1;-0.3;215.770833333;450.0
12;0;1;1.1;227.354166667;461.5
13;0;1;2.5;239.239583333;439.25
14;0;1;1.8;249.802083333;418.25
15;0;1;1.6;259.552083333;388.75
16;0;1;0.4;268.125;356.5
17;0;1;-1.1;275.260416667;335.5
18;0;1;-2.1;280.875;320.75
19;0;1;-2.3;285.645833333;290.0
20;0;1;-2.8;289.322916667;255.75
21;0;1;-2.1;292.0625;211.5
22;0;1;-1.9;293.208333333;192.5
23;0;1;-1.8;294.208333333;180.75
0;0;1;-2.1;294.760416667;178.0
1;0;1;-3.6;296.368421053;173.0
2;0;1;-4.6;298.042553191;170.5
3;0;1;-5.1;298.35106383;171.0
4;0;1;-5.6;298.670212766;170.5
5;0;1;-5.1;298.968085106;172.0
6;0;1;-3.0;298.787234043;228.0
7;0;1;-3.0;298.35106383;275.75
8;0;1;-2.2;297.734042553;354.25
9;0;1;-1.8;297.14893617;414.25
10;0;1;-1.2;296.563829787;449.0
11;0;1;-0.2;296.574468085;451.5
12;0;1;0.2;296.638297872;433.5
13;0;1;0.8;295.446808511;421.75
14;0;1;1.0;294.70212766;429.0
15;0;1;0.9;295.159574468;406.5
16;0;1;0.8;295.914893617;361.5
17;0;1;0.5;296.127659574;338.5
18;0;1;-0.3;296.255319149;322.5
19;0;1;-0.4;296.329787234;296.0
20;0;1;-0.7;296.585106383;246.5
21;0;1;-1.0;296.191489362;213.0
22;0;1;-0.4;296.255319149;201.25
23;0;1;-0.3;296.627659574;197.25
0;0;1;-0.4;297.329787234;191.25
1;0;1;-0.7;296.631578947;181.5
2;0;1;-0.8;295.697916667;180.25
3;0;1;-1.2;296.104166667;176.25
4;0;1;-1.2;296.322916667;174.75
5;0;1;-1.1;296.5;185.25
6;0;1;-1.1;297.052083333;227.0
7;0;1;-1.1;297.010416667;265.25
8;0;1;-0.3;296.572916667;343.0
9;0;1;1.7;296.104166667;411.0
10;0;1;3.7;295.96875;444.5
11;0;1;5.8;295.78125;455.75
12;0;1;7.5;295.958333333;437.5
13;0;1;7.5;296.125;439.5
14;0;1;7.0;296.864583333;446.25
15;0;1;6.7;297.583333333;428.25
16;0;1;6.4;298.489583333;383.0
17;0;1;3.2;299.385416667;350.0
18;0;1;2.0;299.864583333;323.0
19;0;1;1.5;299.885416667;279.25
20;0;1;1.4;299.1875;247.75
21;0;1;1.4;299.239583333;210.25
22;0;1;0.7;299.125;190.0
23;0;1;0.7;298.65625;186.75
0;0;1;1.0;298.21875;179.5
1;0;1;1.2;297.729166667;174.75
2;0;1;1.5;297.447916667;170.75
3;0;1;1.1;297.052083333;169.75
4;0;1;0.8;296.78125;169.5
5;0;1;1.0;296.5625;180.5
6;0;1;1.6;296.364583333;234.0
7;0;1;1.7;296.65625;278.75
8;0;1;2.5;297.21875;354.5
9;0;1;2.6;297.697916667;416.25
10;0;1;2.8;297.916666667;424.75
11;0;1;2.9;297.09375;440.5
12;0;1;2.9;296.458333333;453.0
13;0;1;2.5;297.104166667;456.75
14;0;1;2.1;297.822916667;433.5
15;0;1;1.9;297.291666667;415.0
16;0;1;1.8;296.739583333;346.5
17;0;1;1.1;295.21875;315.75
18;0;1;0.9;293.791666667;307.25
19;0;1;0.9;293.135416667;268.0
20;0;1;0.9;292.666666667;241.25
21;0;1;0.7;292.395833333;220.25
22;0;1;0.2;292.8125;193.5
23;0;1;0.0;292.958333333;186.25
0;0;1;0.0;292.9375;185.75
1;0;1;-0.1;293.197916667;174.75
2;0;1;0.0;293.197916667;172.75
3;0;1;-0.1;293.28125;175.0
4;0;1;-0.5;293.5;172.25
5;0;1;-0.9;293.614583333;186.5
6;0;1;-0.9;293.864583333;236.75
7;0;1;-1.0;293.979166667;283.5
8;0;1;-0.9;294.177083333;361.75
9;0;1;-1.4;294.479166667;457.5
10;0;1;-1.8;296.197916667;469.75
11;0;1;-1.3;298.072916667;483.75
