Sat;DanUTjednu;Mjesec;Temperatura;Potrosnja
23;2;1;-0.3;197.25
0;3;1;-0.4;191.25
1;3;1;-0.7;181.5
2;3;1;-0.8;180.25
3;3;1;-1.2;176.25
4;3;1;-1.2;174.75
5;3;1;-1.1;185.25
6;3;1;-1.1;227.0
7;3;1;-1.1;265.25
8;3;1;-0.3;343.0
9;3;1;1.7;411.0
10;3;1;3.7;444.5
11;3;1;5.8;455.75
12;3;1;7.5;437.5
13;3;1;7.5;439.5
14;3;1;7.0;446.25
15;3;1;6.7;428.25
16;3;1;6.4;383.0
17;3;1;3.2;350.0
18;3;1;2.0;323.0
19;3;1;1.5;279.25
20;3;1;1.4;247.75
21;3;1;1.4;210.25
22;3;1;0.7;190.0
23;3;1;0.7;186.75
0;4;1;1.0;179.5
1;4;1;1.2;174.75
2;4;1;1.5;170.75
3;4;1;1.1;169.75
4;4;1;0.8;169.5
5;4;1;1.0;180.5
6;4;1;1.6;234.0
7;4;1;1.7;278.75
8;4;1;2.5;354.5
9;4;1;2.6;416.25
10;4;1;2.8;424.75
11;4;1;2.9;440.5
12;4;1;2.9;453.0
13;4;1;2.5;456.75
14;4;1;2.1;433.5
15;4;1;1.9;415.0
16;4;1;1.8;346.5
17;4;1;1.1;315.75
18;4;1;0.9;307.25
19;4;1;0.9;268.0
20;4;1;0.9;241.25
21;4;1;0.7;220.25
22;4;1;0.2;193.5
23;4;1;0.0;186.25
0;5;1;0.0;185.75
1;5;1;-0.1;174.75
2;5;1;0.0;172.75
3;5;1;-0.1;175.0
4;5;1;-0.5;172.25
5;5;1;-0.9;186.5
6;5;1;-0.9;236.75
7;5;1;-1.0;283.5
8;5;1;-0.9;361.75
9;5;1;-1.4;457.5
10;5;1;-1.8;469.75
11;5;1;-1.3;483.75
12;5;1;-0.8;482.5
13;5;1;-0.4;470.75
14;5;1;0.0;457.75
15;5;1;0.1;445.25
16;5;1;-0.2;380.25
17;5;1;-0.6;343.75
18;5;1;-0.5;293.25
19;5;1;-0.3;242.5
20;5;1;-0.6;225.75
21;5;1;-0.1;212.5
22;5;1;-0.1;190.5
23;5;1;-0.1;188.25
0;6;1;-0.6;188.0
1;6;1;-1.0;183.5
2;6;1;-1.2;177.0
3;6;1;-2.0;177.5
4;6;1;-2.1;174.5
5;6;1;-2.5;171.25
6;6;1;-2.8;185.25
7;6;1;-3.1;188.75
8;6;1;-2.2;182.5
9;6;1;-1.7;184.25
10;6;1;-1.4;185.75
11;6;1;-1.2;188.75
12;6;1;-0.7;189.75
13;6;1;0.1;188.75
14;6;1;0.0;185.0
15;6;1;-0.1;192.75
16;6;1;-0.1;191.5
17;6;1;-0.2;197.0
18;6;1;-0.2;192.5
19;6;1;-0.4;190.0
20;6;1;-0.5;187.25
21;6;1;-0.7;185.0
22;6;1;-1.0;186.5
23;6;1;-1.1;181.75
0;7;1;-1.2;182.75
1;7;1;-1.2;177.75
2;7;1;-1.2;174.25
3;7;1;-1.4;170.75
4;7;1;-1.5;169.0
5;7;1;-1.8;167.75
6;7;1;-1.9;172.5
7;7;1;-2.0;171.0
8;7;1;-1.3;168.25
9;7;1;-1.1;169.75
10;7;1;-0.9;168.25
11;7;1;-0.2;170.75
12;7;1;-0.1;174.0
13;7;1;0.0;177.0
14;7;1;0.0;182.75
15;7;1;-0.1;190.75
16;7;1;-0.2;187.0
17;7;1;-0.3;188.75
18;7;1;-0.5;186.0
19;7;1;-0.8;182.5
20;7;1;-0.8;180.75
21;7;1;-0.9;179.25
22;7;1;-1.1;176.0
23;7;1;-1.2;170.5
0;1;1;-1.0;167.0
1;1;1;-1.0;167.75
2;1;1;-1.1;166.75
